,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2024_FW40,2024_FW41,2024_FW42,2024_FW43,2024_FW44,2024_FW45,2024_FW46,2024_FW47,2024_FW48,2024_FW49,2024_FW50,2024_FW51,2024_FW52
14,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,14000,14,7,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
15,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,14000,16,8,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
16,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,14000,18,9,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931
17,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,16000,16,8,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
18,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,16000,17,9,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
19,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,16000,18,9,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931
20,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,18000,18,9,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931
21,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,20000,18,9,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912
22,WUX,THP YIELD,1,GG,All,HEPBURNOASIS,500,1,1,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
23,WUX,THP YIELD,1,GG,All,HEPBURNOASIS,1000,2,1,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946
24,WUX,THP YIELD,1,GG,All,KESTREL,300,2,1,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
25,WUX,THP YIELD,1,GG,All,KESTREL,600,4,2,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
26,WUX,THP YIELD,1,GG,All,KESTREL,900,6,3,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
27,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,LONGSPEAKCMR,20000,20,10,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843
28,WUX,THP YIELD,1,GG,All,PHARAOHOASIS,500,1,1,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
29,WUX,THP YIELD,1,GG,All,PHARAOHOASIS,1000,2,1,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
30,WUX,THP YIELD,1,GG,ALL,V11,1000,2,1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
31,WUX,THP YIELD,1,GG,ALL,V11,2000,2,1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
32,WUX,THP YIELD,1,GG,ALL,V11,2000,3,2,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
33,WUX,THP YIELD,1,GG,ALL,V11,4000,4,2,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
34,WUX,THP YIELD,1,GG,All,V11LC,2000,2,1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
35,WUX,THP YIELD,1,GG,All,V11LC,6000,6,3,0.71,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
36,WUX,THP YIELD,1,GG,All,V11LC,8000,8,4,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905
37,WUX,THP YIELD,1,GG,All,V15CMRIR,2000,2,1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
38,WUX,THP YIELD,1,GG,All,V15CMRIR,4000,4,2,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
39,WUX,THP YIELD,1,GG,All,V15CMRPI,8000,8,4,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
40,WUX,THP YIELD,1,GG,All,V15DT,2000,2,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
41,WUX,THP YIELD,1,GG,All,V15DT,6000,6,3,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
42,WUX,THP YIELD,1,GG,All,V15DT,8000,8,4,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
