,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2024_FW40,2024_FW41,2024_FW42,2024_FW43,2024_FW44,2024_FW45,2024_FW46,2024_FW47,2024_FW48,2024_FW49,2024_FW50,2024_FW51,2024_FW52
0,WUX,THP YIELD,1,GG,All,AVENGERSATA,1000,5,3,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
1,WUX,THP YIELD,1,GG,All,AVENGERSATA,2000,10,5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,12000,12,7,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927
3,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,12000,14,8,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927
4,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,14000,14,7,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
5,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,14000,14,8,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
6,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,16000,16,8,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
7,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,16000,17,9,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951,0.951
8,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,18000,18,9,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931
9,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSAS,20000,18,9,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912,0.912
10,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,10000,12,6,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937
11,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,12000,12,6,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.937
43,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,12000,12,7,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927
12,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,12000,14,8,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927
13,WUX,THP_YIELD,GEMINI_SP,GG,INSERTION_TP,EVANSBPSATA,12000,18,9,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927
