,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2025_FW1,2025_FW2,2025_FW3,2025_FW4,2025_FW5,2025_FW6,2025_FW7,2025_FW8,2025_FW9,2025_FW10,2025_FW11,2025_FW12,2025_FW13
28,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,1000,2,2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
29,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,1000,2,2,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
1260,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,2000,3,2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
1261,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,2000,3,2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1262,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,2000,3,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1263,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,2000,3,2,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
1264,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,2000,3,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1265,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,2000,3,2,7.496,11.731,12.0,6.9944,6.8229,8.0076,8.908,8.1767,8.5827,7.9793,9.3077,5.3931,6.4957
1266,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,2000,3,2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
1267,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,2000,3,2,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
30,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,4000,4,2,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
31,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,4000,4,2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
32,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,4000,4,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
33,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,4000,4,2,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
34,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,4000,4,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
35,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,4000,4,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
36,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,4000,4,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
37,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,4000,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,4000,5,3,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
39,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,4000,5,3,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
40,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,4000,5,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
41,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,4000,5,3,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
42,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,4000,5,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
43,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,4000,5,3,13.0,14.0,14.0,11.0,11.0,11.0,12.0,11.0,10.0,13.0,10.0,7.0,13.0
